comment_id,comment_text,sentiment,category,emoji_count,hashtag_count,exclaim_count,word_count,char_count,likes,follower_bin
58,Nobody asked for this #vibes,Negative,lifestyle,0,1,0,5,28,0,2
59,Such a vibe ✨,Positive,beauty,0,0,0,4,13,0,0
60,You look amazing! #foodie,Positive,food,0,1,1,4,25,4,1
61,New follower here!,Neutral,lifestyle,0,0,1,3,18,2,0
62,Interesting perspective,Neutral,travel,0,0,0,2,23,1,0
63,Hard pass 👎,Negative,beauty,1,0,0,3,11,5,2
64,What camera did you use? #outfitoftheday,Neutral,fashion,0,1,0,6,40,2,0
65,Just scrolling by,Neutral,fashion,0,0,0,3,17,1,1
66,Best post today! #outfitoftheday,Positive,fashion,0,1,1,4,32,9,1
67,Totally in love!,Positive,fitness,0,0,1,3,16,1,2
68,This made my day 😍 #makeup #skincare,Positive,beauty,1,2,0,7,36,19,0
69,You look amazing!,Positive,lifestyle,0,0,1,3,17,0,1
70,This is fire 🔥,Positive,fitness,1,0,0,4,14,52,0
71,Absolutely love this!,Positive,lifestyle,0,0,1,3,21,17,2
72,This is cringe,Negative,fashion,0,0,0,3,14,0,2
73,How long did this take?,Neutral,beauty,0,0,0,5,23,0,2
74,How long did this take?,Neutral,tech,0,0,0,5,23,8,1
75,This looks awful honestly,Negative,travel,0,0,0,4,25,3,1
76,This makes no sense,Negative,travel,0,0,0,4,19,3,1
77,Very underwhelming #foodporn #yummy,Negative,food,0,2,0,4,35,4,1
78,Magical shot! 📸,Positive,fashion,1,0,1,3,15,0,2
79,Wow just wow 😮,Positive,fitness,1,0,0,4,14,5,2
80,Absolutely not my thing,Negative,fitness,0,0,0,4,23,0,0
81,Hard pass 👎 #fashion,Negative,fashion,1,1,0,4,20,5,0
82,DM me please,Neutral,fitness,0,0,0,3,12,4,2
83,Ugh not again 🙄,Negative,lifestyle,1,0,0,4,15,1,0
84,Looks very forced honestly,Negative,food,0,0,0,4,26,0,0
85,Tagged my friend,Neutral,fashion,0,0,0,3,16,1,2
86,So happy for you!,Positive,food,0,0,1,4,17,4,0
87,This place looks dreamy 🌈,Positive,sports,1,0,0,5,25,15,2
88,Magical shot! 📸,Positive,sports,1,0,1,3,15,12,2
89,You inspire me every day,Positive,travel,0,0,0,5,24,26,0
90,Okay content,Neutral,tech,0,0,0,2,12,3,1
91,Super boring honestly #coding #ai,Negative,tech,0,2,0,5,33,0,1
92,Pure perfection! #gym #gains,Positive,fitness,0,2,1,4,28,14,0
93,Yesss queen 👑,Positive,beauty,1,0,0,3,13,17,0
94,This is fire 🔥,Positive,lifestyle,1,0,0,4,14,9,2
95,"Noted, will try",Neutral,food,0,0,0,3,15,7,2
96,You look amazing! #delicious #instafood,Positive,food,0,2,1,5,39,8,1
97,Spreading good vibes 🌟 #mood #vibes,Positive,lifestyle,1,2,0,6,35,8,1
98,Added to my list,Neutral,food,0,0,0,4,16,2,2
99,So bad I had to comment,Negative,fitness,0,0,0,6,23,0,1
100,This is fire 🔥 #ai #innovation,Positive,tech,1,2,0,6,30,1,1
101,This warmed my heart 🥰,Positive,lifestyle,1,0,0,5,22,0,1
102,You look amazing! #foodie,Positive,food,0,1,1,4,25,12,0
103,Classic style #ootd,Neutral,fashion,0,1,0,3,19,1,0
104,Incredible photo!,Positive,fitness,0,0,1,2,17,8,1
105,New follower here!,Neutral,travel,0,0,1,3,18,11,2
106,Very underwhelming #explore,Negative,travel,0,1,0,3,27,0,2
107,Completely overrated,Negative,lifestyle,0,0,0,2,20,1,0
108,This is everything ❤️,Positive,fashion,0,0,0,4,21,16,1
109,Not bad not great,Neutral,fitness,0,0,0,4,17,1,0
110,So proud of you ❤️ #lifestyle #mood,Positive,lifestyle,0,2,0,7,35,0,1
111,10/10 content!,Positive,beauty,0,0,1,2,14,4,1
112,Yesss queen 👑,Positive,tech,1,0,0,3,13,2,1
113,This deserves more likes!,Positive,tech,0,0,1,4,25,31,0
114,So happy for you!,Positive,sports,0,0,1,4,17,19,2
115,Not what I expected 🙁 #vibes #mood,Negative,lifestyle,1,2,0,7,34,3,0
116,Actual goals 🙌 #innovation #tech,Positive,tech,1,2,0,5,32,24,2
117,When was this taken?,Neutral,fitness,0,0,0,4,20,8,1
118,Getting worse every post,Negative,fashion,0,0,0,4,24,0,2
119,Can't stop smiling at this 😊 #instafood #yummy,Positive,food,1,2,0,8,46,26,2
120,Nobody asked for this,Negative,sports,0,0,0,4,21,2,1
121,Saved this post,Neutral,beauty,0,0,0,3,15,8,1
122,Obsessed with this look!,Positive,fashion,0,0,1,4,24,27,1
123,You always deliver 💯 #explore #instatravel,Positive,travel,1,2,0,6,42,4,0
124,When was this taken?,Neutral,tech,0,0,0,4,20,0,1
125,Totally in love! #instatravel,Positive,travel,0,1,1,4,29,3,1
126,So bad I had to comment,Negative,travel,0,0,0,6,23,1,1
127,Wow just wow 😮,Positive,food,1,0,0,4,14,20,1
128,This warmed my heart 🥰,Positive,food,1,0,0,5,22,23,1
129,Love your energy!,Positive,fitness,0,0,1,3,17,0,2
130,I disagree completely #foodie #instafood,Negative,food,0,2,0,5,40,2,0
131,This makes no sense,Negative,lifestyle,0,0,0,4,19,1,2
132,Literally the best 💖,Positive,lifestyle,1,0,0,4,20,3,1
133,"Nice location, where is this?",Neutral,lifestyle,0,0,0,5,29,0,0
134,Why do people even like this? #workout,Negative,fitness,0,1,0,7,38,1,2
135,Living for this content!,Positive,fashion,0,0,1,4,24,34,0
136,You inspire me every day #football,Positive,sports,0,1,0,6,34,4,2
137,You are so inspiring!,Positive,sports,0,0,1,4,21,8,1
138,Are you hiring? #ootd,Neutral,fashion,0,1,0,4,21,6,1
139,Okay I guess #gains #workout,Neutral,fitness,0,2,0,5,28,2,1
140,Love your energy!,Positive,tech,0,0,1,3,17,42,2
141,Terrible quality tbh,Negative,sports,0,0,0,3,20,9,1
142,This is so disappointing 😞 #ai,Negative,tech,1,1,0,6,30,0,2
143,You inspire me every day,Positive,travel,0,0,0,5,24,8,1
144,Just saw this on explore,Neutral,travel,0,0,0,5,24,1,1
145,Saved this post,Neutral,sports,0,0,0,3,15,1,1
146,Not what I expected 🙁,Negative,travel,1,0,0,5,21,0,1
147,Stunning as always!,Positive,lifestyle,0,0,1,3,19,11,1
148,Love your energy!,Positive,fitness,0,0,1,3,17,8,0
149,You lost me here #champion #athlete,Negative,sports,0,2,0,6,35,0,2
150,Incredible photo! #yummy,Positive,food,0,1,1,3,24,3,1
151,First time seeing this #cricket,Neutral,sports,0,1,0,5,31,11,1
152,Terrible quality tbh #mood,Negative,lifestyle,0,1,0,4,26,0,0
153,Ugh not again 🙄,Negative,travel,1,0,0,4,15,0,1
154,Keep posting please!,Positive,tech,0,0,1,3,20,8,1
155,This is fire 🔥 #travel,Positive,travel,1,1,0,5,22,50,1
156,Followed for more content,Neutral,lifestyle,0,0,0,4,25,1,2
157,Wow just wow 😮,Positive,food,1,0,0,4,14,13,2
158,This is misleading #football #champion,Negative,sports,0,2,0,5,38,4,2
159,DM me please,Neutral,lifestyle,0,0,0,3,12,1,0
160,Just saw this on explore,Neutral,fashion,0,0,0,5,24,6,1
161,This is fire 🔥,Positive,sports,1,0,0,4,14,5,2
162,Love from India 🇮🇳,Neutral,travel,0,0,0,4,18,5,0
163,This is everything ❤️,Positive,beauty,0,0,0,4,21,12,1
164,Absolutely love this!,Positive,sports,0,0,1,3,21,9,1
165,Different vibe today,Neutral,travel,0,0,0,3,20,0,1
166,Can't stop smiling at this 😊,Positive,lifestyle,1,0,0,6,28,21,2
167,Passing through 👀 #inspo #lifestyle,Neutral,lifestyle,1,2,0,5,35,1,2
168,Best post today!,Positive,tech,0,0,1,3,16,2,1
169,DM me please #fitness #gains,Neutral,fitness,0,2,0,5,28,0,1
170,Saved this post,Neutral,tech,0,0,0,3,15,4,0
171,Living for this content! #inspo,Positive,lifestyle,0,1,1,5,31,13,1
172,Ugh not again 🙄,Negative,fashion,1,0,0,4,15,0,0
173,10/10 content! #programming,Positive,tech,0,1,1,3,27,8,1
174,Terrible quality tbh,Negative,travel,0,0,0,3,20,0,1
175,What's the song?,Neutral,tech,0,0,0,3,16,5,2
176,You always deliver 💯,Positive,tech,1,0,0,4,20,2,1
177,You look amazing!,Positive,lifestyle,0,0,1,3,17,14,2
178,Totally in love! #inspo,Positive,lifestyle,0,1,1,4,23,5,2
179,Best post today!,Positive,tech,0,0,1,3,16,33,1
180,This warmed my heart 🥰,Positive,fashion,1,0,0,5,22,1,2
181,What's the song? #explore,Neutral,travel,0,1,0,4,25,2,1
182,Pure perfection! #skincare #glow,Positive,beauty,0,2,1,4,32,1,0
183,This place looks dreamy 🌈,Positive,beauty,1,0,0,5,25,31,1
184,Added to my list,Neutral,tech,0,0,0,4,16,10,1
185,This showed up on my feed,Neutral,tech,0,0,0,6,25,1,0
186,Such a vibe ✨,Positive,fitness,0,0,0,4,13,12,0
187,Passing through 👀,Neutral,lifestyle,1,0,0,3,17,8,2
188,Absolutely love this! #mood,Positive,lifestyle,0,1,1,4,27,9,1
189,Way too much editing,Negative,tech,0,0,0,4,20,2,2
190,How long did this take? #gains,Neutral,fitness,0,1,0,6,30,1,2
191,You are so inspiring!,Positive,fashion,0,0,1,4,21,1,1
192,What's the song?,Neutral,tech,0,0,0,3,16,11,0
193,Slaying as usual 👏,Positive,food,1,0,0,4,18,27,0
194,This is fire 🔥,Positive,travel,1,0,0,4,14,12,2
195,Just saw this on explore,Neutral,lifestyle,0,0,0,5,24,2,0
196,Classic style,Neutral,fitness,0,0,0,2,13,2,1
197,Okay I guess,Neutral,tech,0,0,0,3,12,6,0
198,So proud of you ❤️ #trendy #style,Positive,fashion,0,2,0,7,33,27,0
199,Obsessed with this look!,Positive,fashion,0,0,1,4,24,26,1
200,This made my day 😍 #ootd #trendy,Positive,fashion,1,2,0,7,32,18,2
201,Incredible photo!,Positive,fashion,0,0,1,2,17,12,0
202,Absolutely love this! #wanderlust,Positive,travel,0,1,1,4,33,1,2
203,Obsessed with this look!,Positive,travel,0,0,1,4,24,2,0
204,So happy for you!,Positive,beauty,0,0,1,4,17,27,0
205,Pure perfection!,Positive,food,0,0,1,2,16,11,2
206,You inspire me every day,Positive,fitness,0,0,0,5,24,0,1
207,Literally the best 💖,Positive,fitness,1,0,0,4,20,1,2
208,10/10 content!,Positive,tech,0,0,1,2,14,13,0
209,Love your energy!,Positive,sports,0,0,1,3,17,0,0
210,You are so inspiring!,Positive,sports,0,0,1,4,21,2,1
211,I disagree completely #fitlife #workout,Negative,fitness,0,2,0,5,39,2,1
212,This is everything ❤️,Positive,lifestyle,0,0,0,4,21,14,0
213,Are you hiring?,Neutral,fashion,0,0,0,3,15,5,0
214,Love your energy!,Positive,sports,0,0,1,3,17,3,0
215,This warmed my heart 🥰,Positive,beauty,1,0,0,5,22,14,0
216,Terrible quality tbh #sports,Negative,sports,0,1,0,4,28,0,1
217,Pure perfection!,Positive,beauty,0,0,1,2,16,4,2
218,How long did this take? #glow #beauty,Neutral,beauty,0,2,0,7,37,6,1
219,This ruins everything 😤,Negative,beauty,1,0,0,4,23,3,0
220,Best post today!,Positive,sports,0,0,1,3,16,22,1
221,First time seeing this,Neutral,beauty,0,0,0,4,22,5,2
222,This made my day 😍,Positive,lifestyle,1,0,0,5,18,10,2
223,Interesting shot #ai #innovation,Neutral,tech,0,2,0,4,32,0,0
224,Love your energy! #travel,Positive,travel,0,1,1,4,25,5,2
225,You lost me here,Negative,lifestyle,0,0,0,4,16,0,0
226,Can't stop smiling at this 😊,Positive,beauty,1,0,0,6,28,3,0
227,Can't stop smiling at this 😊 #delicious #foodporn,Positive,food,1,2,0,8,49,43,1
228,You look amazing!,Positive,fitness,0,0,1,3,17,5,1
229,This is so fake,Negative,sports,0,0,0,4,15,6,0
230,Absolutely love this! #instafood,Positive,food,0,1,1,4,32,11,1
231,Absolutely love this!,Positive,fitness,0,0,1,3,21,19,1
232,Yesss queen 👑,Positive,lifestyle,1,0,0,3,13,8,2
233,Terrible quality tbh,Negative,beauty,0,0,0,3,20,2,2
234,10/10 content!,Positive,food,0,0,1,2,14,8,1
235,Getting worse every post,Negative,lifestyle,0,0,0,4,24,0,1
236,This deserves more likes! #yummy #foodie,Positive,food,0,2,1,6,40,15,1
237,Are you hiring?,Neutral,fashion,0,0,0,3,15,1,2
238,Actual goals 🙌 #tech,Positive,tech,1,1,0,4,20,0,2
239,Looks very forced honestly,Negative,fashion,0,0,0,4,26,3,1
240,What were you thinking? #wanderlust #instatravel,Negative,travel,0,2,0,6,48,0,2
241,Living for this content!,Positive,fitness,0,0,1,4,24,33,2
242,This deserves more likes!,Positive,sports,0,0,1,4,25,36,2
243,You are so inspiring!,Positive,sports,0,0,1,4,21,29,2
244,Goals! 🔥🔥,Positive,tech,2,0,1,2,9,5,0
245,Stunning as always! #sports #champion,Positive,sports,0,2,1,5,37,0,2
246,Super boring honestly,Negative,lifestyle,0,0,0,3,21,7,2
247,Added to my list,Neutral,sports,0,0,0,4,16,2,2
248,Magical shot! 📸 #athlete,Positive,sports,1,1,1,4,24,40,0
249,Reposting this #beauty,Neutral,beauty,0,1,0,3,22,16,0
250,This is so fake,Negative,sports,0,0,0,4,15,5,0
251,This is fire 🔥,Positive,tech,1,0,0,4,14,4,1
252,Hard pass 👎,Negative,food,1,0,0,3,11,1,1
253,This is fire 🔥 #workout,Positive,fitness,1,1,0,5,23,22,0
254,So much hype for nothing #wanderlust #travel,Negative,travel,0,2,0,7,44,1,1
255,Absolutely not my thing #glow,Negative,beauty,0,1,0,5,29,0,2
256,Slaying as usual 👏 #skincare,Positive,beauty,1,1,0,5,28,9,1
257,Such a vibe ✨ #instatravel,Positive,travel,0,1,0,5,26,33,2
258,How long did this take? #foodporn,Neutral,food,0,1,0,6,33,5,1
259,This is so beautiful!,Positive,travel,0,0,1,4,21,10,0
260,Literally the best 💖,Positive,fashion,1,0,0,4,20,1,2
261,Could be better could be worse #ootd #style,Neutral,fashion,0,2,0,8,43,4,2
262,DM me please,Neutral,sports,0,0,0,3,12,23,1
263,This is so beautiful!,Positive,lifestyle,0,0,1,4,21,1,2
264,Goals! 🔥🔥,Positive,tech,2,0,1,2,9,8,1
265,Getting worse every post,Negative,fitness,0,0,0,4,24,6,0
266,Totally in love!,Positive,travel,0,0,1,3,16,16,2
267,Can't stop smiling at this 😊,Positive,lifestyle,1,0,0,6,28,14,0
268,Added to my list #glow,Neutral,beauty,0,1,0,5,22,6,2
269,Can't stop smiling at this 😊,Positive,lifestyle,1,0,0,6,28,5,0
270,Actual goals 🙌,Positive,fitness,1,0,0,3,14,4,0
271,Pure perfection!,Positive,sports,0,0,1,2,16,19,1
272,Can't stop smiling at this 😊 #instafood,Positive,food,1,1,0,7,39,19,2
273,First time seeing this,Neutral,lifestyle,0,0,0,4,22,10,0
274,So happy for you!,Positive,food,0,0,1,4,17,29,2
275,Spreading good vibes 🌟,Positive,fitness,1,0,0,4,22,8,0
276,Getting worse every post #fashion #style,Negative,fashion,0,2,0,6,40,2,0
277,Totally unrelatable,Negative,travel,0,0,0,2,19,4,2
278,Passing through 👀,Neutral,fitness,1,0,0,3,17,5,2
279,What filter is this?,Neutral,food,0,0,0,4,20,6,0
280,Worst content ever 😒,Negative,beauty,1,0,0,4,20,4,1
281,When was this taken?,Neutral,beauty,0,0,0,4,20,11,2
282,Pure perfection! #makeup #glow,Positive,beauty,0,2,1,4,30,4,2
283,Pure perfection! #travel #explore,Positive,travel,0,2,1,4,33,5,0
284,Stunning as always! #trendy #outfitoftheday,Positive,fashion,0,2,1,5,43,1,2
285,You always deliver 💯 #yummy,Positive,food,1,1,0,5,27,10,1
286,Blessed to see this!,Positive,beauty,0,0,1,4,20,0,2
287,Actual goals 🙌,Positive,lifestyle,1,0,0,3,14,7,1
288,So much hype for nothing,Negative,beauty,0,0,0,5,24,2,1
289,Different vibe today,Neutral,lifestyle,0,0,0,3,20,1,0
290,This ruins everything 😤 #skincare #glow,Negative,beauty,1,2,0,6,39,2,2
291,Getting worse every post,Negative,travel,0,0,0,4,24,0,1
292,Blessed to see this! #beauty,Positive,beauty,0,1,1,5,28,0,2
293,This is so fake,Negative,beauty,0,0,0,4,15,5,2
294,Such a vibe ✨,Positive,food,0,0,0,4,13,5,2
295,Checking in from Dubai 🇦🇪 #yummy #delicious,Neutral,food,0,2,0,7,43,0,2
296,Literally the best 💖,Positive,travel,1,0,0,4,20,8,1
297,Pure perfection!,Positive,fitness,0,0,1,2,16,17,1
298,So happy for you!,Positive,tech,0,0,1,4,17,2,0
299,This is so fake,Negative,sports,0,0,0,4,15,2,2
300,Literally the best 💖 #programming #coding,Positive,tech,1,2,0,6,41,1,0
301,Literally the best 💖 #fitness #workout,Positive,fitness,1,2,0,6,38,0,2
302,Yesss queen 👑 #gym #gains,Positive,fitness,1,2,0,5,25,9,1
303,You always deliver 💯,Positive,fitness,1,0,0,4,20,9,0
304,Saved this post,Neutral,food,0,0,0,3,15,5,1
305,Can't stop smiling at this 😊 #adventure #instatravel,Positive,travel,1,2,0,8,52,15,1
306,Checking in from Dubai 🇦🇪,Neutral,fitness,0,0,0,5,25,18,2
307,This place looks dreamy 🌈 #cricket,Positive,sports,1,1,0,6,34,8,1
308,Obsessed with this look!,Positive,food,0,0,1,4,24,4,1
309,Best post today! #beauty #skincare,Positive,beauty,0,2,1,5,34,19,0
310,I disagree completely,Negative,tech,0,0,0,3,21,0,2
311,Way too much editing,Negative,travel,0,0,0,4,20,1,0
312,Stunning as always!,Positive,beauty,0,0,1,3,19,0,0
313,Incredible photo!,Positive,tech,0,0,1,2,17,0,1
314,Ugh not again 🙄,Negative,food,1,0,0,4,15,9,2
315,You inspire me every day #ai #programming,Positive,tech,0,2,0,7,41,21,0
316,Super boring honestly,Negative,travel,0,0,0,3,21,3,1
317,This deserves more likes!,Positive,travel,0,0,1,4,25,6,1
318,Completely overrated #selfcare #beauty,Negative,beauty,0,2,0,4,38,0,1
319,Totally in love!,Positive,fitness,0,0,1,3,16,2,0
320,This is fire 🔥,Positive,tech,1,0,0,4,14,3,1
321,This deserves more likes!,Positive,travel,0,0,1,4,25,9,2
322,Spreading good vibes 🌟,Positive,travel,1,0,0,4,22,15,1
323,Spreading good vibes 🌟 #innovation #programming,Positive,tech,1,2,0,6,47,12,0
324,Goals! 🔥🔥 #selfcare #glow,Positive,beauty,2,2,1,4,25,3,1
325,You lost me here #workout #fitlife,Negative,fitness,0,2,0,6,34,9,1
326,You always deliver 💯,Positive,food,1,0,0,4,20,16,1
327,Totally in love!,Positive,sports,0,0,1,3,16,9,2
328,I disagree completely,Negative,fitness,0,0,0,3,21,2,1
329,So proud of you ❤️,Positive,beauty,0,0,0,5,18,6,0
330,This is so fake #vibes,Negative,lifestyle,0,1,0,5,22,0,2
331,This place looks dreamy 🌈,Positive,sports,1,0,0,5,25,5,2
332,Followed for more content,Neutral,travel,0,0,0,4,25,7,1
333,Actual goals 🙌,Positive,tech,1,0,0,3,14,0,2
334,Ugh not again 🙄,Negative,tech,1,0,0,4,15,0,1
335,Keep posting please!,Positive,fitness,0,0,1,3,20,0,2
336,New follower here!,Neutral,food,0,0,1,3,18,0,2
337,This showed up on my feed #ootd #outfitoftheday,Neutral,fashion,0,2,0,8,47,9,0
338,Okay I guess,Neutral,fashion,0,0,0,3,12,6,2
339,Literally the best 💖 #delicious,Positive,food,1,1,0,5,31,7,2
340,Goals! 🔥🔥,Positive,sports,2,0,1,2,9,1,2
341,You inspire me every day,Positive,beauty,0,0,0,5,24,8,1
342,Added to my list,Neutral,sports,0,0,0,4,16,3,2
343,You inspire me every day #ai,Positive,tech,0,1,0,6,28,2,2
344,Wow just wow 😮,Positive,tech,1,0,0,4,14,6,2
345,Ugh not again 🙄 #skincare #beauty,Negative,beauty,1,2,0,6,33,1,2
346,Looks very forced honestly,Negative,lifestyle,0,0,0,4,26,2,1
347,"Nice location, where is this? #explore",Neutral,travel,0,1,0,6,38,5,1
348,This looks awful honestly #champion #football,Negative,sports,0,2,0,6,45,0,0
349,So happy for you! #ootd,Positive,fashion,0,1,1,5,23,5,0
350,You inspire me every day #beauty,Positive,beauty,0,1,0,6,32,11,2
351,Are you hiring?,Neutral,travel,0,0,0,3,15,3,1
352,Wow just wow 😮 #fashion,Positive,fashion,1,1,0,5,23,23,2
353,So much hype for nothing,Negative,food,0,0,0,5,24,3,1
354,Added to my list,Neutral,travel,0,0,0,4,16,0,1
355,Added to my list,Neutral,travel,0,0,0,4,16,0,1
356,"Nice location, where is this?",Neutral,food,0,0,0,5,29,5,0
357,"Nice location, where is this?",Neutral,beauty,0,0,0,5,29,0,2
358,Looks very forced honestly,Negative,sports,0,0,0,4,26,2,2
359,Obsessed with this look! #style #ootd,Positive,fashion,0,2,1,6,37,33,0
360,Way too much editing,Negative,tech,0,0,0,4,20,2,0
361,Blessed to see this!,Positive,lifestyle,0,0,1,4,20,5,0
362,Living for this content!,Positive,fitness,0,0,1,4,24,12,1
363,Absolutely love this! #outfitoftheday,Positive,fashion,0,1,1,4,37,7,1
364,Just saw this on explore,Neutral,tech,0,0,0,5,24,3,0
365,So happy for you! #glow,Positive,beauty,0,1,1,5,23,34,1
366,Obsessed with this look!,Positive,tech,0,0,1,4,24,5,1
367,Best post today!,Positive,fashion,0,0,1,3,16,38,1
368,Keep posting please!,Positive,beauty,0,0,1,3,20,28,1
369,Why do people even like this? #trendy,Negative,fashion,0,1,0,7,37,0,1
370,Terrible quality tbh,Negative,beauty,0,0,0,3,20,0,0
371,Yesss queen 👑 #trendy #outfitoftheday,Positive,fashion,1,2,0,5,37,1,0
372,Terrible quality tbh,Negative,sports,0,0,0,3,20,0,1
373,Checking in from Dubai 🇦🇪,Neutral,sports,0,0,0,5,25,0,1
374,Totally unrelatable,Negative,sports,0,0,0,2,19,3,2
375,Absolutely love this!,Positive,tech,0,0,1,3,21,0,2
376,You look amazing!,Positive,lifestyle,0,0,1,3,17,4,2
377,Added to my list,Neutral,fitness,0,0,0,4,16,9,1
378,Keep posting please!,Positive,travel,0,0,1,3,20,0,1
379,This is fire 🔥 #dailylife,Positive,lifestyle,1,1,0,5,25,20,0
380,This place looks dreamy 🌈 #lifestyle,Positive,lifestyle,1,1,0,6,36,3,0
381,How long did this take?,Neutral,sports,0,0,0,5,23,0,1
382,What were you thinking?,Negative,fashion,0,0,0,4,23,3,0
383,Stunning as always!,Positive,fitness,0,0,1,3,19,11,1
384,What were you thinking? #foodporn,Negative,food,0,1,0,5,33,6,0
385,So happy for you!,Positive,food,0,0,1,4,17,15,1
386,Goals! 🔥🔥 #ootd #style,Positive,fashion,2,2,1,4,22,19,2
387,What were you thinking? #selfcare,Negative,beauty,0,1,0,5,33,0,0
388,Goals! 🔥🔥,Positive,tech,2,0,1,2,9,2,2
389,What's the song?,Neutral,travel,0,0,0,3,16,6,2
390,This is fire 🔥,Positive,beauty,1,0,0,4,14,19,1
391,I disagree completely #inspo,Negative,lifestyle,0,1,0,4,28,13,1
392,Slaying as usual 👏,Positive,fashion,1,0,0,4,18,6,0
393,Could be better could be worse,Neutral,food,0,0,0,6,30,2,1
394,Completely overrated #explore,Negative,travel,0,1,0,3,29,4,2
395,So proud of you ❤️ #sports,Positive,sports,0,1,0,6,26,5,1
396,You are so inspiring! #delicious,Positive,food,0,1,1,5,32,32,0
397,"Nice location, where is this?",Neutral,beauty,0,0,0,5,29,9,0
398,Obsessed with this look!,Positive,fashion,0,0,1,4,24,6,1
399,What filter is this?,Neutral,fashion,0,0,0,4,20,6,2
400,This is fire 🔥,Positive,tech,1,0,0,4,14,16,2
401,So proud of you ❤️,Positive,tech,0,0,0,5,18,1,1
402,This deserves more likes!,Positive,sports,0,0,1,4,25,27,1
